Enochian,Meaning,Category,Root,Gematria,Confidence,Derivation
TOTHOA,bone,body,TOT,85,0.70,morphological_derivation > all/arising + south
TQUA,"destroy (imperative, third person)",verb,QUA,57,0.70,verb_conjugation > imperative > third person
TQUAAH,"destroy (perfect, third person)",verb,QUA,64,0.70,verb_conjugation > perfect > third person
TQUAAR,"destroy (present, third person)",verb,QUA,163,0.70,verb_conjugation > present > third person
TQUAIZI,"destroy (past, third person)",verb,QUA,184,0.70,verb_conjugation > past > third person
TQUAOLU,"destroy (future, third person)",verb,QUA,113,0.70,verb_conjugation > future > third person
TRANSH,seven,numbers,TRA,170,0.70,markov_generation
TRIAN,appear,original,TRI,225,1.00,original_corpus
TRIDA,thought,existential,TRI,178,0.70,markov_generation
TTOR,"arise (imperative, third person)",verb,TOR,148,0.70,verb_conjugation > imperative > third person
TTORAH,"arise (perfect, third person)",verb,TOR,155,0.70,verb_conjugation > perfect > third person
TTORAR,"arise (present, third person)",verb,TOR,254,0.70,verb_conjugation > present > third person
TTORIZI,"arise (past, third person)",verb,TOR,275,0.70,verb_conjugation > past > third person
TTOROLU,"arise (future, third person)",verb,TOR,204,0.70,verb_conjugation > future > third person
TURA,within (extended),extended,TUR,117,0.50,markov_extension
TURAL,temple (extended),extended,TUR,141,0.50,markov_extension
TURALB,beauty,original,TUR,146,1.00,original_corpus
TURALBUL,cycle,temporal,TUR,172,0.70,morphological_derivation > beauty + end/rising
TURANU,void (extended),extended,TUR,169,0.50,markov_extension
TURAOAN,create (extended),extended,TUR,203,0.50,markov_extension
TURBS,beauty (variant),original,TUR,120,1.00,original_corpus
TURD,joy (extended),extended,TUR,114,0.50,markov_extension
TURDO,temple (extended),extended,TUR,144,0.50,markov_extension
TURLS,lightning,elements,TUR,139,0.70,markov_generation
TZAC,"move (imperative, third person)",verb,ZAC,23,0.70,verb_conjugation > imperative > third person
TZACAH,"move (perfect, third person)",verb,ZAC,30,0.70,verb_conjugation > perfect > third person
TZACAR,"move (present, third person)",verb,ZAC,129,0.70,verb_conjugation > present > third person
TZACIZI,"move (past, third person)",verb,ZAC,150,0.70,verb_conjugation > past > third person
TZACOLU,"move (future, third person)",verb,ZAC,79,0.70,verb_conjugation > future > third person
TZAM,"appear (imperative, third person)",verb,ZAM,112,0.70,verb_conjugation > imperative > third person
TZAMAH,"appear (perfect, third person)",verb,ZAM,119,0.70,verb_conjugation > perfect > third person
TZAMAR,"appear (present, third person)",verb,ZAM,218,0.70,verb_conjugation > present > third person
TZAMIZI,"appear (past, third person)",verb,ZAM,239,0.70,verb_conjugation > past > third person
TZAMOLU,"appear (future, third person)",verb,ZAM,168,0.70,verb_conjugation > future > third person
U,strength,original,U,2,1.00,original_corpus
V,toward,preposition,V,2,0.65,preposition_generation
VA,toward,preposition,V,8,0.65,preposition_generation
VAOAN,truth,original,VAO,94,1.00,original_corpus
VAOFFAFFAS,sun (extended),extended,VAO,86,0.50,markov_extension
VAUL,work,original,VAU,34,1.00,original_corpus
VEA,secret (extended),extended,VEA,17,0.50,markov_extension
VEAELA,great (extended),extended,VEA,56,0.50,markov_extension
VEARANIISI,pure (extended),extended,VEA,357,0.50,markov_extension
VEARZIRT,gate (extended),extended,VEA,293,0.50,markov_extension
VEP,lament,original,VEP,19,1.00,original_corpus
VGEAR,strengthen,original,VGE,127,1.00,original_corpus
VGES,tower (extended),extended,VGE,25,0.50,markov_extension
VI,toward,preposition,V,62,0.65,preposition_generation
VIN,of/from,original,VIN,112,1.00,original_corpus
VINID,from the,original,VIN,175,1.00,original_corpus
VINU,wrath,original,VIN,114,1.00,original_corpus
VIS,sky (extended),extended,VIS,66,0.50,markov_extension
VISAD,poison,original,VIS,75,1.00,original_corpus
VIT,one,numbers,VIT,71,0.70,markov_generation
VMAD,voice (extended),extended,VMA,101,0.50,markov_extension
VMADEA,continueth,original,VMA,116,1.00,original_corpus
VMD,moon (extended),extended,VMD,95,0.50,markov_extension
VNIG,necessity,original,VNI,122,1.00,original_corpus
VO,toward,preposition,V,32,0.65,preposition_generation
VOFFAFE,cycle (extended),extended,VOF,71,0.50,markov_extension
VOMSARG,whom,original,VOM,242,1.00,original_corpus
VON,eye (extended),extended,VON,82,0.50,markov_extension
VONA,weep,original,VON,88,1.00,original_corpus
VONPH,anger,original,VON,91,1.00,original_corpus
VONS,rest,actions,VON,86,0.70,markov_generation
VOOAN,truth (variant),original,VOO,118,1.00,original_corpus
VOOANONOBA,truth (extended),extended,VOO,239,0.50,markov_extension
VORD,soul,existential,VOR,135,0.70,markov_generation
VORRITABOL,dusk (extended),extended,VOR,366,0.50,markov_extension
VORS,over,original,VOR,136,1.00,original_corpus
VORSAG,over,original,VOR,152,1.00,original_corpus
VORSAM,ether (extended),extended,VOR,232,0.50,markov_extension
VORSG,over (variant),original,VOR,146,1.00,original_corpus
VORSGILT,despair,emotions,VOR,239,0.70,morphological_derivation > over (variant) + seat/place
VRAN,dispose,original,VRA,158,1.00,original_corpus
VX,forty-two,original,VX,402,1.00,original_corpus
X,thou,original,X,400,1.00,original_corpus
YRPOIL,divide,original,YRP,282,1.00,original_corpus
Z,they,original,Z,7,1.00,original_corpus
ZAC,"move (imperative, general)",verb,ZAC,14,0.70,verb_conjugation > imperative > general
ZACAH,"move (perfect, general)",verb,ZAC,21,0.70,verb_conjugation > perfect > general
ZACAR,move,original,ZAC,120,1.00,original_corpus
ZACIZI,"move (past, general)",verb,ZAC,141,0.70,verb_conjugation > past > general
ZACOLU,"move (future, general)",verb,ZAC,70,0.70,verb_conjugation > future > general
ZACRA,move (variant),original,ZAC,120,1.00,original_corpus
ZAM,beside,preposition,ZAM,103,0.65,preposition_generation
ZAMA,beside,preposition,ZAM,109,0.65,preposition_generation
ZAMAH,"appear (perfect, general)",verb,ZAM,110,0.70,verb_conjugation > perfect > general
ZAMAR,"appear (present, general)",verb,ZAM,209,0.70,verb_conjugation > present > general
ZAMI,beside,preposition,ZAM,163,0.65,preposition_generation
ZAMIZI,"appear (past, general)",verb,ZAM,230,0.70,verb_conjugation > past > general
ZAMO,beside,preposition,ZAM,133,0.65,preposition_generation
ZAMOLU,"appear (future, general)",verb,ZAM,159,0.70,verb_conjugation > future > general
ZAMRAN,appear,original,ZAM,259,1.00,original_corpus
ZAR,course,original,ZAR,113,1.00,original_corpus
ZARP,wind (extended),extended,ZAR,121,0.50,markov_extension
ZARZAR,move (extended),extended,ZAR,226,0.50,markov_extension
ZCH,dream,existential,ZCH,9,0.70,markov_generation
ZCHIISOL,breath (extended),extended,ZCH,187,0.50,markov_extension
ZCHIS,are,original,ZCH,73,1.00,original_corpus
ZEN,sacrifice,original,ZEN,66,1.00,original_corpus
ZIADPH,soul (extended),extended,ZIA,85,0.50,markov_extension
ZIANANAELON,forty,numbers,ZIA,298,0.70,morphological_derivation > I am / being + secret wisdom + appearing/faith
ZIATH,bird,beings,ZIA,83,0.70,morphological_derivation > I am / being + works
ZIEN,hands,original,ZIE,126,1.00,original_corpus
ZILA,below (extended),extended,ZIL,97,0.50,markov_extension
ZILODARP,conquer,original,ZIL,238,1.00,original_corpus
ZINAZPSADAL,zero,numbers,ZIN,181,0.70,morphological_derivation > I am / being + sword + secret/first
ZIOR,fish,beings,ZIO,197,0.70,morphological_derivation > I am / being + twelve
ZIOSORE,love,emotions,ZIO,240,0.70,morphological_derivation > I am / being + twelve
ZIR,prayer,divine,ZIR,167,0.70,markov_generation
ZIRDO,I am,original,ZIR,200,1.00,original_corpus
ZIRENAIAD,I am the servant of God,original,ZIR,301,1.00,original_corpus
ZIROM,were,original,ZIR,287,1.00,original_corpus
ZIRZA,was,original,ZIR,180,1.00,original_corpus
ZIS,hope,emotions,ZIS,71,0.70,markov_generation
ZNRZA,swear,original,ZNR,170,1.00,original_corpus
ZOA,pronoun form (ZO),grammar,ZO,43,0.60,pronoun_generation
ZOAN,pronoun form (ZO),grammar,ZO,93,0.60,pronoun_generation
ZODAMERANU,appearance,original,ZOD,303,1.00,original_corpus
ZODOOANAE,moment (extended),extended,ZOD,171,0.50,markov_extension
ZOI,pronoun form (ZO),grammar,ZO,97,0.60,pronoun_generation
ZOIS,pronoun form (ZO),grammar,ZO,101,0.60,pronoun_generation
ZOL,hand,original,ZOL,61,1.00,original_corpus
ZOLD,perfect (extended),extended,ZOL,64,0.50,markov_extension
ZOLOCHIIST,beast (extended),extended,ZOL,226,0.50,markov_extension
ZOLORS,human (extended),extended,ZOL,195,0.50,markov_extension
ZOLPIL,human,beings,ZOL,153,0.70,markov_generation
ZONDOOAP,sun (extended),extended,ZON,164,0.50,markov_extension
ZONG,they,original,ZON,97,1.00,original_corpus
ZONRENSG,deliver,original,ZON,260,1.00,original_corpus
ZONS,star (extended),extended,ZON,91,0.50,markov_extension
ZOO,pronoun form (ZO),grammar,ZO,67,0.60,pronoun_generation
ZOR,they are,original,ZOR,137,1.00,original_corpus
ZORENANBAM,secret (extended),extended,ZOR,353,0.50,markov_extension
ZORGE,be friendly,original,ZOR,156,1.00,original_corpus
ZORSCORS,holy (extended),extended,ZOR,276,0.50,markov_extension
ZORSOB,spirit,beings,ZOR,176,0.70,morphological_derivation > they are + whose
ZUMVI,seas,original,ZUM,161,1.00,original_corpus
ZYLNA,sea,original,ZYL,147,1.00,original_corpus
